A79849
A79851
A79863
A99244
AB000604	BAA75824	gb|AB000604:4-1128	BAA75825	(gb|AB000604:4-731, 960)	BAA75826	gb|AB000604:709-1128
AB000605	BAA75827	gb|AB000605:4-1128	BAA75828	(gb|AB000605:4-731, 960)	BAA75829	gb|AB000605:709-1128
AB000606	BAA75830	gb|AB000606:4-1128	BAA75831	(gb|AB000606:4-731, 960)	BAA75832	gb|AB000606:709-1128
AB000607	BAA75833	gb|AB000607:4-1128	BAA75834	(gb|AB000607:4-731, 960)	BAA75835	gb|AB000607:709-1128
AB000608	BAA75836	gb|AB000608:4-1128	BAA75837	(gb|AB000608:4-731, 960)	BAA75838	gb|AB000608:709-1128
AB000609	BAA75839	gb|AB000609:4-1128	BAA75840	(gb|AB000609:4-731, 960)	BAA75841	gb|AB000609:709-1128
AB000610	BAA75842	gb|AB000610:4-1128	BAA75843	(gb|AB000610:4-731, 960)	BAA75844	gb|AB000610:709-1128
AB000611	BAA75845	gb|AB000611:4-1128	BAA75846	(gb|AB000611:4-731, 960)	BAA75847	gb|AB000611:709-1128
AB000612	BAA75848	gb|AB000612:5-1129	BAA75849	(gb|AB000612:5-732, 961)	BAA75850	gb|AB000612:710-1129
AB000613	BAA75851	gb|AB000613:4-1128	BAA75852	(gb|AB000613:4-731, 960)	BAA75853	gb|AB000613:709-1128
AB000614	BAA75854	gb|AB000614:4-1128	BAA75855	(gb|AB000614:4-731, 960)	BAA75856	gb|AB000614:709-1128
AB000720	BAA75857	gb|AB000720:4-1128	BAA75858	(gb|AB000720:4-731, 960)	BAA75859	gb|AB000720:709-1128
AB000721	BAA75860	gb|AB000721:5-1129	BAA75861	(gb|AB000721:5-732, 961)	BAA75862	gb|AB000721:710-1129
AB000722	BAA75863	gb|AB000722:4-1128	BAA75864	(gb|AB000722:4-731, 960)	BAA75865	gb|AB000722:709-1128
AB000723	BAA75866	gb|AB000723:4-1128	BAA75867	(gb|AB000723:4-731, 960)	BAA75868	gb|AB000723:709-1128
AB000724	BAA75869	gb|AB000724:4-1128	BAA75870	(gb|AB000724:4-731, 960)	BAA75871	gb|AB000724:709-1128
AB000725	BAA75872	gb|AB000725:4-1128	BAA75873	(gb|AB000725:4-731, 960)	BAA75874	gb|AB000725:709-1128
AB000726	BAA75875	gb|AB000726:5-1129	BAA75876	(gb|AB000726:5-732, 961)	BAA75877	gb|AB000726:710-1129
AB000727	BAA75878	gb|AB000727:5-1129	BAA75879	(gb|AB000727:5-732, 961)	BAA75880	gb|AB000727:710-1129
AB000728	BAA75881	gb|AB000728:4-1128	BAA75882	(gb|AB000728:4-731, 960)	BAA75883	gb|AB000728:709-1128
AB002469	BAA19602	(gb|AB002469:23-209, 523-884)	BAA19603	gb|AB002469:23-763
AB013806	BAA77284	gb|AB013806:<1->710
CY024449	ABV48324	gb|CY024449:1->969
CY024450	ABV48325	gb|CY024450:1->1377
CY024451	ABV48326	gb|CY024451:1-759	ABV48327	(gb|CY024451:1-26, 715->967)
CY024452	ABV48328	gb|CY024452:1-654	ABV48329	(gb|CY024452:1-30, 503-838)
CY024453	ABV48330	gb|CY024453:<1-1245
CY024454	ABV48331	gb|CY024454:<1->1413	ABV48332	gb|CY024454:59-232
CY024455	ABV48333	gb|CY024455:<1-1380
CY024456	ABV48334	gb|CY024456:1->1605
CY024457	ABV48335	gb|CY024457:1->969
CY024458	ABV48336	gb|CY024458:1->1377
CY024459	ABV48337	gb|CY024459:1-759	ABV48338	(gb|CY024459:1-26, 715->967)
CY024460	ABV48339	gb|CY024460:1-654	ABV48340	(gb|CY024460:1-30, 503-838)
CY024461	ABV48341	gb|CY024461:<1-1245
CY024462	ABV48342	gb|CY024462:1->1449	ABV48343	gb|CY024462:95-268
CY024463	ABV48344	gb|CY024463:<1-1380
CY024464	ABV48345	gb|CY024464:<1->1551
CY024465	ABV48346	gb|CY024465:1->969
CY024466	ABV48347	gb|CY024466:<1->1305
CY024467	ABV48348	gb|CY024467:1-759	ABV48349	(gb|CY024467:1-26, 715->966)
CY024468	ABV48350	gb|CY024468:1-654	ABV48351	(gb|CY024468:1-30, 503->830)
CY024469	ABV48352	gb|CY024469:<1-1245
CY024470	ABV48353	gb|CY024470:1->1398	ABV48354	gb|CY024470:95-334
CY024471	ABV48355	gb|CY024471:<1->1368
CY024472	ABV48356	gb|CY024472:<1->1544
CY024473	ABV48357	gb|CY024473:1->915
CY024474	ABV48358	gb|CY024474:1->1335
CY024475	ABV48359	gb|CY024475:1-759	ABV48360	(gb|CY024475:1-26, 715->937)
CY024476	ABV48361	gb|CY024476:<1-603	ABV48362	gb|CY024476:<452-787
CY024477	ABV48363	gb|CY024477:<1-1245
CY024478	ABV48364	gb|CY024478:1->1449
CY024479	ABV48365	gb|CY024479:<1-1380
CY024480	ABV48366	gb|CY024480:<1->1551
CY024481	ABV48367	gb|CY024481:1->969
CY024482	ABV48368	gb|CY024482:1->1377
CY024483	ABV48369	gb|CY024483:1-759	ABV48370	(gb|CY024483:1-26, 715->967)
CY024484	ABV48371	gb|CY024484:1-654	ABV48372	(gb|CY024484:1-30, 503->830)
CY024485	ABV48373	gb|CY024485:<1-1245
CY024486	ABV48374	gb|CY024486:1->1449
CY024487	ABV48375	gb|CY024487:<1-1380
CY024488	ABV48376	gb|CY024488:1->1605
CY024489	ABV48377	gb|CY024489:1->969
CY024490	ABV48378	gb|CY024490:1->1377
CY024491	ABV48379	gb|CY024491:1-759	ABV48380	(gb|CY024491:1-26, 715->967)
CY024492	ABV48381	gb|CY024492:1-654	ABV48382	(gb|CY024492:1-30, 503-838)
CY024493	ABV48383	gb|CY024493:<1-1245
CY024494	ABV48384	gb|CY024494:1->1449	ABV48385	gb|CY024494:95-268
CY024495	ABV48386	gb|CY024495:<1-1380
CY024496	ABV48387	gb|CY024496:1->1605
CY024497	ABV48388	gb|CY024497:1->969
CY024498	ABV48389	gb|CY024498:1->1377
CY024499	ABV48390	gb|CY024499:1-759	ABV48391	(gb|CY024499:1-26, 715->967)
CY024500	ABV48392	gb|CY024500:1-654	ABV48393	(gb|CY024500:1-30, 503-838)
CY024501	ABV48394	gb|CY024501:<1-1245
CY024502	ABV48395	gb|CY024502:1->1437	ABV48396	gb|CY024502:95-268
CY024503	ABV48397	gb|CY024503:<1-1380
CY024504	ABV48398	gb|CY024504:1->1605
CY024505	ABV48399	gb|CY024505:1->969
CY024506	ABV48400	gb|CY024506:1->1377
CY024507	ABV48401	gb|CY024507:1-759	ABV48402	(gb|CY024507:1-26, 715->967)
CY024508	ABV48403	gb|CY024508:1-654	ABV48404	(gb|CY024508:1-30, 503-838)
CY024509	ABV48405	gb|CY024509:<1-1245
CY024510	ABV48406	gb|CY024510:1->1449	ABV48407	gb|CY024510:95-334
CY024511	ABV48408	gb|CY024511:<1-1380
CY024512	ABV48409	gb|CY024512:1->1605
CY024513	ABV48410	gb|CY024513:1->969
CY024514	ABV48411	gb|CY024514:1->1377
CY024515	ABV48412	gb|CY024515:1-759	ABV48413	(gb|CY024515:1-26, 715->967)
CY024516	ABV48414	gb|CY024516:1-654	ABV48415	(gb|CY024516:1-30, 503-838)
CY024517	ABV48416	gb|CY024517:<1-1245
CY024518	ABV48417	gb|CY024518:1->1449	ABV48418	gb|CY024518:95-334
CY024519	ABV48419	gb|CY024519:<1-1380
CY024520	ABV48420	gb|CY024520:1->1605
CY024521	ABV48421	gb|CY024521:1->969
CY024522	ABV48422	gb|CY024522:1->1377
CY024523	ABV48423	gb|CY024523:1-759	ABV48424	(gb|CY024523:1-26, 715->967)
CY024524	ABV48425	gb|CY024524:1-654	ABV48426	(gb|CY024524:1-30, 503-838)
CY024525	ABV48427	gb|CY024525:<1-1245
CY024526	ABV48428	gb|CY024526:1->1440	ABV48429	gb|CY024526:95-367
CY024527	ABV48430	gb|CY024527:<1-1380
CY024528	ABV48431	gb|CY024528:1->1605
CY024529	ABV48432	gb|CY024529:1->969
CY024530	ABV48433	gb|CY024530:1->1377
CY024531	ABV48434	gb|CY024531:1-759	ABV48435	(gb|CY024531:1-26, 715->967)
CY024532	ABV48436	gb|CY024532:1-654	ABV48437	(gb|CY024532:1-30, 503-838)
CY024533	ABV48438	gb|CY024533:<1-1245
CY024534	ABV48439	gb|CY024534:1->1443	ABV48440	gb|CY024534:95-367
CY024535	ABV48441	gb|CY024535:<1-1380
CY024536	ABV48442	gb|CY024536:1->1596
CY024537	ABV48443	gb|CY024537:1->969
CY024538	ABV48444	gb|CY024538:1->1377
CY024539	ABV48445	gb|CY024539:1-759	ABV48446	(gb|CY024539:1-26, 715->967)
CY024540	ABV48447	gb|CY024540:1-654	ABV48448	(gb|CY024540:1-30, 503-838)
CY024541	ABV48449	gb|CY024541:<1-1245
CY024542	ABV48450	gb|CY024542:1->1449	ABV48451	gb|CY024542:95-367
CY024543	ABV48452	gb|CY024543:<1-1380
CY024544	ABV48453	gb|CY024544:1->1605
CY024545	ABV48454	gb|CY024545:1->969
CY024546	ABV48455	gb|CY024546:1->1377
CY024547	ABV48456	gb|CY024547:1-759	ABV48457	(gb|CY024547:1-26, 715->967)
CY024548	ABV48458	gb|CY024548:1-654	ABV48459	(gb|CY024548:1-30, 503-838)
CY024549	ABV48460	gb|CY024549:<1-1245
CY024550	ABV48461	gb|CY024550:<1->1428	ABV48462	gb|CY024550:188-346
CY024551	ABV48463	gb|CY024551:<1-1380
CY024552	ABV48464	gb|CY024552:1->1605
CY024553	ABV48465	gb|CY024553:1->969
CY024554	ABV48466	gb|CY024554:1->1371
CY024555	ABV48467	gb|CY024555:1-759	ABV48468	(gb|CY024555:1-26, 715->967)
CY024556	ABV48469	gb|CY024556:1-693	ABV48470	(gb|CY024556:1-30, 503-838)
CY024557	ABV48471	gb|CY024557:<1-1245
CY024558	ABV48472	gb|CY024558:1->1449	ABV48473	gb|CY024558:95-367
CY024559	ABV48474	gb|CY024559:<1-1380
CY024560	ABV48475	gb|CY024560:1->1605
CY024561	ABV48476	gb|CY024561:1->969
CY024562	ABV48477	gb|CY024562:1->1344
CY024563	ABV48478	gb|CY024563:1-759	ABV48479	(gb|CY024563:1-26, 715->967)
CY024564	ABV48480	gb|CY024564:1-693	ABV48481	(gb|CY024564:1-30, 503-838)
CY024565	ABV48482	gb|CY024565:<1->1227
CY024566	ABV48483	gb|CY024566:1->1437	ABV48484	gb|CY024566:95-367
CY024567	ABV48485	gb|CY024567:<1-1380
CY024568	ABV48486	gb|CY024568:1->1605
CY024569	ABV48487	gb|CY024569:1->969
CY024570	ABV48488	gb|CY024570:1->1368
CY024571	ABV48489	gb|CY024571:1-759	ABV48490	(gb|CY024571:1-26, 715->967)
CY024572	ABV48491	gb|CY024572:1-654	ABV48492	(gb|CY024572:1-30, 503-838)
CY024573	ABV48493	gb|CY024573:1->2277
CY024574	ABV48494	gb|CY024574:1-2274	ABV48495	gb|CY024574:95-367
CY024575	ABV48496	gb|CY024575:1->2148
CY024576	ABV48497	gb|CY024576:1->1605
CY024577	ABV48498	gb|CY024577:1-1497
CY024578	ABV48499	gb|CY024578:1->1368
CY024579	ABV48500	gb|CY024579:1-759	ABV48501	(gb|CY024579:1-26, 715->967)
CY024580	ABV48502	gb|CY024580:1-654	ABV48503	(gb|CY024580:1-30, 503-838)
CY024581	ABV48504	gb|CY024581:<1->1179
CY024582	ABV48505	gb|CY024582:1->1449	ABV48506	gb|CY024582:95-367
CY024583	ABV48507	gb|CY024583:<1-1380
CY024584	ABV48508	gb|CY024584:<1->1425
CY024585	ABV48509	gb|CY024585:1->915
CY024586	ABV48510	gb|CY024586:1->1368
CY024587	ABV48511	gb|CY024587:<1-753	ABV48512	(gb|CY024587:<1-20, 709->961)
CY024588	ABV48513	gb|CY024588:1-654	ABV48514	(gb|CY024588:1-30, 503-838)
CY024589	ABV48515	gb|CY024589:<1->1239
CY024590	ABV48516	gb|CY024590:1->1449	ABV48517	gb|CY024590:95-367
CY024591	ABV48518	gb|CY024591:<1-1380
CY024592	ABV48519	gb|CY024592:1->1605
CY024593	ABV48520	gb|CY024593:1->969
CY024594	ABV48521	gb|CY024594:1->1368
CY024595	ABV48522	gb|CY024595:1-759	ABV48523	(gb|CY024595:1-26, 715->967)
CY024596	ABV48524	gb|CY024596:1-654	ABV48525	(gb|CY024596:1-30, 503-838)
CY024597	ABV48526	gb|CY024597:<1->1194
CY024598	ABV48527	gb|CY024598:1->1449	ABV48528	gb|CY024598:95-367
CY024599	ABV48529	gb|CY024599:<1-1380
CY024600	ABV48530	gb|CY024600:<1->1527
CY024601	ABV48531	gb|CY024601:1->915
CY024602	ABV48532	gb|CY024602:1->1293
CY024603	ABV48533	gb|CY024603:1-759	ABV48534	(gb|CY024603:1-26, 715->967)
CY024604	ABV48535	gb|CY024604:1-654	ABV48536	(gb|CY024604:1-30, 503-838)
CY024605	ABV48537	gb|CY024605:<1-1245
CY024606	ABV48538	gb|CY024606:1->1449	ABV48539	gb|CY024606:95-367
CY024607	ABV48540	gb|CY024607:<1-1380
CY024608	ABV48541	gb|CY024608:1->1605
CY024609	ABV48542	gb|CY024609:1->969
CY024610	ABV48543	gb|CY024610:1->1368
CY024611	ABV48544	gb|CY024611:1-759	ABV48545	(gb|CY024611:1-26, 715->967)
CY024612	ABV48546	gb|CY024612:1-654	ABV48547	(gb|CY024612:1-30, 503-838)
CY024613	ABV48548	gb|CY024613:<1-1245
CY024614	ABV48549	gb|CY024614:1->1449	ABV48550	gb|CY024614:95-367
CY024615	ABV48551	gb|CY024615:<1-1380
CY024616	ABV48552	gb|CY024616:1->1605
CY024617	ABV48553	gb|CY024617:1->969
CY024618	ABV48554	gb|CY024618:<1->1359
CY024619	ABV48555	gb|CY024619:1-759	ABV48556	(gb|CY024619:1-26, 715->967)
CY024620	ABV48557	gb|CY024620:1-654	ABV48558	(gb|CY024620:1-30, 503-838)
CY024621	ABV48559	gb|CY024621:<1->1179
CY024622	ABV48560	gb|CY024622:1->1449	ABV48561	gb|CY024622:95-367
CY024623	ABV48562	gb|CY024623:<1-1380
CY024624	ABV48563	gb|CY024624:<1->1512
CY024625	ABV48564	gb|CY024625:1->969
CY024626	ABV48565	gb|CY024626:1->1377
CY024627	ABV48566	gb|CY024627:1-759	ABV48567	(gb|CY024627:1-26, 715->967)
CY024628	ABV48568	gb|CY024628:1-654	ABV48569	(gb|CY024628:1-30, 503-838)
CY024629	ABV48570	gb|CY024629:1->2277
CY024630	ABV48571	gb|CY024630:1->2273	ABV48572	gb|CY024630:95-334
CY024631	ABV48573	gb|CY024631:1->2148
CY024632	ABV48574	gb|CY024632:<1->1515
CY024633	ABV48575	gb|CY024633:1-1497
CY024634	ABV48576	gb|CY024634:<1->1323
CY024635	ABV48577	gb|CY024635:1-759	ABV48578	(gb|CY024635:1-26, 715->967)
CY024636	ABV48579	gb|CY024636:1-654	ABV48580	(gb|CY024636:1-30, 503-838)
CY024637	ABV48581	gb|CY024637:<1->1194
CY024638	ABV48582	gb|CY024638:<1->1416	ABV48583	gb|CY024638:62-301
CY024639	ABV48584	gb|CY024639:<1-1380
CY024640	ABV48585	gb|CY024640:<1->1551
CY024641	ABV48586	gb|CY024641:1->969
CY024642	ABV48587	gb|CY024642:1->1377
CY024643	ABV48588	gb|CY024643:1-759	ABV48589	(gb|CY024643:1-26, 715->967)
CY024644	ABV48590	gb|CY024644:<1-642	ABV48591	(gb|CY024644:<1-18, 491-826)
CY024645	ABV48592	gb|CY024645:<1-1245
CY024646	ABV48593	gb|CY024646:1->1398	ABV48594	gb|CY024646:95-367
CY024647	ABV48595	gb|CY024647:<1->1371
CY024648	ABV48596	gb|CY024648:<1->1527
CY024649	ABV48597	gb|CY024649:1->915
CY024650	ABV48598	gb|CY024650:<1->1332
CY024651	ABV48599	gb|CY024651:1-759	ABV48600	(gb|CY024651:1-26, 715->967)
CY024652	ABV48601	gb|CY024652:<1-567	ABV48602	gb|CY024652:<416-751
CY024653	ABV48603	gb|CY024653:<1->1194
CY024654	ABV48604	gb|CY024654:1->1449	ABV48605	gb|CY024654:95-334
CY024655	ABV48606	gb|CY024655:<1-1380
CY024656	ABV48607	gb|CY024656:<1->1551
CY024657	ABV48608	gb|CY024657:1->969
CY024658	ABV48609	gb|CY024658:<1->1359
CY024659	ABV48610	gb|CY024659:1-759	ABV48611	(gb|CY024659:1-26, 715->967)
CY024660	ABV48612	gb|CY024660:<1-642	ABV48613	(gb|CY024660:<1-18, 491-826)
CY024661	ABV48614	gb|CY024661:<1-1245
CY024662	ABV48615	gb|CY024662:1->1449	ABV48616	gb|CY024662:95-334
CY024663	ABV48617	gb|CY024663:<1-1380
CY024664	ABV48618	gb|CY024664:<1->1431
CY024665	ABV48619	gb|CY024665:1->915
CY024666	ABV48620	gb|CY024666:1->1326
CY024667	ABV48621	gb|CY024667:1-759	ABV48622	(gb|CY024667:1-26, 715->937)
CY024668	ABV48623	gb|CY024668:1-654	ABV48624	(gb|CY024668:1-30, 503-838)
CY024669	ABV48625	gb|CY024669:<1->1194
CY024670	ABV48626	gb|CY024670:1->1449	ABV48627	gb|CY024670:95-367
CY024671	ABV48628	gb|CY024671:<1-1380
CY024672	ABV48629	gb|CY024672:<1->1512
CY024673	ABV48630	gb|CY024673:1->915
CY024674	ABV48631	gb|CY024674:1->1377
CY024675	ABV48632	gb|CY024675:1-759	ABV48633	(gb|CY024675:1-26, 715->967)
CY024676	ABV48634	gb|CY024676:1-654	ABV48635	(gb|CY024676:1-30, 503-838)
CY024677	ABV48636	gb|CY024677:<1-1245
CY024678	ABV48637	gb|CY024678:1->1449	ABV48638	gb|CY024678:95-367
CY024679	ABV48639	gb|CY024679:<1-1380
CY024680	ABV48640	gb|CY024680:1->1605
CY024681	ABV48641	gb|CY024681:1->969
CY024682	ABV48642	gb|CY024682:1->1377
CY024683	ABV48643	gb|CY024683:1-759	ABV48644	(gb|CY024683:1-26, 715->967)
CY024684	ABV48645	gb|CY024684:1-654	ABV48646	(gb|CY024684:1-30, 503-838)
CY024685	ABV48647	gb|CY024685:<1-1245
CY024686	ABV48648	gb|CY024686:1->1449	ABV48649	gb|CY024686:95-367
CY024687	ABV48650	gb|CY024687:<1-1380
CY024688	ABV48651	gb|CY024688:1->1605
CY024689	ABV48652	gb|CY024689:1->969
CY024690	ABV48653	gb|CY024690:1->1377
CY024691	ABV48654	gb|CY024691:1-759	ABV48655	(gb|CY024691:1-26, 715->967)
CY024692	ABV48656	gb|CY024692:1-654	ABV48657	(gb|CY024692:1-30, 503-838)
CY024693	ABV48658	gb|CY024693:<1-1245
CY024694	ABV48659	gb|CY024694:1->1449	ABV48660	gb|CY024694:95-334
CY024695	ABV48661	gb|CY024695:<1-1380
CY024696	ABV48662	gb|CY024696:1->1605
CY024697	ABV48663	gb|CY024697:1->969
CY024698	ABV48664	gb|CY024698:<1->1356
CY024699	ABV48665	gb|CY024699:1-759	ABV48666	(gb|CY024699:1-26, 715->967)
CY024700	ABV48667	gb|CY024700:1-654	ABV48668	(gb|CY024700:1-30, 503-838)
CY024701	ABV48669	gb|CY024701:<1->1239
CY024702	ABV48670	gb|CY024702:1->1449	ABV48671	gb|CY024702:95-367
CY024703	ABV48672	gb|CY024703:<1-1380
CY024704	ABV48673	gb|CY024704:1->1605
CY024705	ABV48674	gb|CY024705:1->969
CY024706	ABV48675	gb|CY024706:1->1377
CY024707	ABV48676	gb|CY024707:1-759	ABV48677	(gb|CY024707:1-26, 715->967)
CY024708	ABV48678	gb|CY024708:1-654	ABV48679	(gb|CY024708:1-30, 503-838)
CY024709	ABV48680	gb|CY024709:<1-1245
CY024710	ABV48681	gb|CY024710:<1->1428	ABV48682	gb|CY024710:74-346
CY024711	ABV48683	gb|CY024711:<1-1380
CY024712	ABV48684	gb|CY024712:1->1605
CY024713	ABV48685	gb|CY024713:1->969
CY024714	ABV48686	gb|CY024714:1->1377
CY024715	ABV48687	gb|CY024715:1-759	ABV48688	(gb|CY024715:1-26, 715->967)
CY024716	ABV48689	gb|CY024716:1-654	ABV48690	(gb|CY024716:1-30, 503-838)
CY024717	ABV48691	gb|CY024717:<1-1245
CY024718	ABV48692	gb|CY024718:<1->1440	ABV48693	gb|CY024718:86-358
CY024719	ABV48694	gb|CY024719:<1-1380
CY024720	ABV48695	gb|CY024720:1->1605
CY024721	ABV48696	gb|CY024721:1->969
CY024722	ABV48697	gb|CY024722:1->1377
CY024723	ABV48698	gb|CY024723:1-759	ABV48699	(gb|CY024723:1-26, 715->967)
CY024724	ABV48700	gb|CY024724:1-654	ABV48701	(gb|CY024724:1-30, 503-838)
CY024725	ABV48702	gb|CY024725:<1-1245
CY024726	ABV48703	gb|CY024726:1->1443	ABV48704	gb|CY024726:95-367
CY024727	ABV48705	gb|CY024727:<1-1380
CY024728	ABV48706	gb|CY024728:1->1605
CY024729	ABV48707	gb|CY024729:1->969
CY024730	ABV48708	gb|CY024730:1->1377
CY024731	ABV48709	gb|CY024731:1-759	ABV48710	(gb|CY024731:1-26, 715->967)
CY024732	ABV48711	gb|CY024732:1-654	ABV48712	(gb|CY024732:1-30, 503->816)
CY024733	ABV46315	gb|CY024733:<1-1380
CY024734	ABV46318	gb|CY024734:1->1344
CY024735	ABV46321	gb|CY024735:<1-651	ABV46322	(gb|CY024735:<1-27, 500-835)
CY024736	ABV46312	gb|CY024736:<1-1245
CY024737	ABV46319	gb|CY024737:1-759	ABV46320	(gb|CY024737:1-26, 715->967)
CY024738	ABS89299	gb|CY024738:6-1688
CY024739	ABS89300	gb|CY024739:9-767	ABS89301	(gb|CY024739:9-34, 723-990)
CY024740	ABS89302	gb|CY024740:1-1341
CY024741	ABS89303	gb|CY024741:31-1527
CY024742	ABS89304	gb|CY024742:12-704	ABS89305	(gb|CY024742:12-41, 514-849)
CY024743	ABS89306	gb|CY024743:6-2156
CY024744	ABS89307	gb|CY024744:11-2287	ABS89308	gb|CY024744:105-377
CY024745	ABS89309	gb|CY024745:1-2280
CY024746	ABS89310	gb|CY024746:14-1708
CY024747	ABS89311	gb|CY024747:2-760	ABS89312	(gb|CY024747:2-27, 716-983)
CY024748	ABS89313	gb|CY024748:1-1410
CY024749	ABS89314	gb|CY024749:31-1527
CY024750	ABS89315	gb|CY024750:12-704	ABS89316	(gb|CY024750:12-41, 514-849)
CY024751	ABS89317	gb|CY024751:6-2156
CY024752	ABS89318	gb|CY024752:11-2287	ABS89319	gb|CY024752:105-377
CY024753	ABS89320	gb|CY024753:13-2292
CY024754	ABS89321	gb|CY024754:6-1688
CY024755	ABS89322	gb|CY024755:9-767	ABS89323	(gb|CY024755:9-34, 723-990)
CY024756	ABS89324	gb|CY024756:4-1347
CY024757	ABS89325	gb|CY024757:34-1527
CY024758	ABS89326	gb|CY024758:12-704	ABS89327	(gb|CY024758:12-41, 514-849)
CY024759	ABS89328	gb|CY024759:7-2157
CY024760	ABS89329	gb|CY024760:11-2287	ABS89330	gb|CY024760:105-377
CY024761	ABS89331	gb|CY024761:13-2292
CY024762	ABS89332	gb|CY024762:6-1700
CY024763	ABS89333	gb|CY024763:9-767	ABS89334	(gb|CY024763:9-34, 723-990)
CY024764	ABS89335	gb|CY024764:4-1347
CY024765	ABS89336	gb|CY024765:31-1524
CY024766	ABS89337	gb|CY024766:12-686	ABS89338	(gb|CY024766:12-41, 514-849)
CY024767	ABS89339	gb|CY024767:7-2157
CY024768	ABS89340	gb|CY024768:11-2287	ABS89341	gb|CY024768:105-377
CY024769	ABS89342	gb|CY024769:13-2292
CY024770	ABS89343	gb|CY024770:6-1700
CY024771	ABS89344	gb|CY024771:9-767	ABS89345	(gb|CY024771:9-34, 723-990)
CY024772	ABS89346	gb|CY024772:4-1347
CY024773	ABS89347	gb|CY024773:31-1524
CY024774	ABS89348	gb|CY024774:1-675	ABS89349	(gb|CY024774:1-30, 503-838)
CY024775	ABS89350	gb|CY024775:6-2156
CY024776	ABS89351	gb|CY024776:11-2287	ABS89352	gb|CY024776:105-377
CY024777	ABS89353	gb|CY024777:13-2292
CY024778	ABS89354	gb|CY024778:6-1697
CY024779	ABS89355	gb|CY024779:3-761	ABS89356	(gb|CY024779:3-28, 717-984)
CY024780	ABS89357	gb|CY024780:3-1418
CY024781	ABS89358	gb|CY024781:31-1527
CY024782	ABS89359	gb|CY024782:12-704	ABS89360	(gb|CY024782:12-41, 514-849)
CY024783	ABS89361	gb|CY024783:6-2156
CY024784	ABS89362	gb|CY024784:11-2284	ABS89363	gb|CY024784:105-377
CY024785	ABS89364	gb|CY024785:13-2292
CY024786	ABS89365	gb|CY024786:6-1697
CY024787	ABS89366	gb|CY024787:9-767	ABS89367	(gb|CY024787:9-34, 723-990)
CY024788	ABS89368	gb|CY024788:5-1420
CY024789	ABS89369	gb|CY024789:31-1527
CY024790	ABS89370	gb|CY024790:12-704	ABS89371	(gb|CY024790:12-41, 514-849)
CY024791	ABS89372	gb|CY024791:6-2156
CY024792	ABS89373	gb|CY024792:11-2284	ABS89374	gb|CY024792:105-377
CY024793	ABS89375	gb|CY024793:13-2292
CY024794	ABS89376	gb|CY024794:4-1704
CY024795	ABS89377	gb|CY024795:1-759	ABS89378	(gb|CY024795:1-26, 715-982)
CY024796	ABS89379	gb|CY024796:19-1431
CY024797	ABS89380	gb|CY024797:31-1527
CY024798	ABS89381	gb|CY024798:12-704	ABS89382	(gb|CY024798:12-41, 514-849)
CY024799	ABS89383	gb|CY024799:1-2151
CY024800	ABS89384	gb|CY024800:11-2284	ABS89385	gb|CY024800:105-377
CY024801	ABS89386	gb|CY024801:13-2292
CY024802	ABS89387	gb|CY024802:13-1713
CY024803	ABS89388	gb|CY024803:1-759	ABS89389	(gb|CY024803:1-26, 715-982)
CY024804	ABS89390	gb|CY024804:1-1413
CY024805	ABS89391	gb|CY024805:31-1527
CY024806	ABS89392	gb|CY024806:12-704	ABS89393	(gb|CY024806:12-41, 514-849)
CY024807	ABS89394	gb|CY024807:1-2151
CY024808	ABS89395	gb|CY024808:11-2284	ABS89396	gb|CY024808:105-377
CY024809	ABS89397	gb|CY024809:13-2292
CY024810	ABS89398	gb|CY024810:13-1713
CY024811	ABS89399	gb|CY024811:9-767	ABS89400	(gb|CY024811:9-34, 723-990)
CY024812	ABS89401	gb|CY024812:8-1417
CY024813	ABS89402	gb|CY024813:31-1527
CY024814	ABS89403	gb|CY024814:12-704	ABS89404	(gb|CY024814:12-41, 514-849)
CY024815	ABS89405	gb|CY024815:6-2156
CY024816	ABS89406	gb|CY024816:11-2284	ABS89407	gb|CY024816:105-377
CY024817	ABS89408	gb|CY024817:13-2292
CY024818	ABS89409	gb|CY024818:8-1690
CY024819	ABS89410	gb|CY024819:9-767	ABS89411	(gb|CY024819:9-34, 723-990)
CY024820	ABS89412	gb|CY024820:2-1414
CY024821	ABS89413	gb|CY024821:31-1527
CY024822	ABS89414	gb|CY024822:12-704	ABS89415	(gb|CY024822:12-41, 514-849)
CY024823	ABS89416	gb|CY024823:6-2156
CY024824	ABS89417	gb|CY024824:11-2284	ABS89418	gb|CY024824:105-377
CY024825	ABS89419	gb|CY024825:13-2292
CY024826	ABS89420	gb|CY024826:6-1664
CY024827	ABS89421	gb|CY024827:9-767	ABS89422	(gb|CY024827:9-34, 723-990)
CY024828	ABS89423	gb|CY024828:8-1369
CY024829	ABS89424	gb|CY024829:31-1527
CY024830	ABS89425	gb|CY024830:12-704	ABS89426	(gb|CY024830:12-41, 514-849)
CY024831	ABS89427	gb|CY024831:6-2156
CY024832	ABS89428	gb|CY024832:11-2284	ABS89429	gb|CY024832:105-377
CY024833	ABS89430	gb|CY024833:13-2292
CY024834	ABS89431	gb|CY024834:4-1662
CY024835	ABS89432	gb|CY024835:9-767	ABS89433	(gb|CY024835:9-34, 723-990)
CY024836	ABS89434	gb|CY024836:4-1365
CY024837	ABS89435	gb|CY024837:31-1527
